n	i	Nsites	phi
69	33	7	0.0580808080808081
69	11	5	0.108150470219436
69	21	5	0.0684523809523809
69	7	5	0.158986175115207
69	26	3	0.0617173524150268
69	17	2	0.0780542986425339
69	22	4	0.0667311411992263
69	18	3	0.0751633986928105
69	30	2	0.058974358974359
69	16	11	0.0813679245283019
69	23	3	0.0652173913043478
69	13	5	0.0947802197802198
69	29	5	0.0594827586206897
69	27	7	0.0608465608465608
69	25	5	0.0627272727272727
69	28	3	0.0601045296167247
69	9	5	0.127777777777778
69	12	6	0.100877192982456
69	15	1	0.0851851851851852
69	14	4	0.0896103896103896
69	20	4	0.0704081632653061
69	8	7	0.141393442622951
69	34	1	0.0579831932773109
69	24	4	0.0638888888888889
69	19	6	0.0726315789473684
69	10	7	0.116949152542373
69	31	2	0.0585738539898132
49	11	64	0.117224880382775
49	21	79	0.0833333333333333
49	7	99	0.166666666666667
49	17	76	0.0900735294117647
49	22	69	0.0824915824915825
49	18	68	0.0878136200716846
49	16	64	0.0928030303030303
49	23	66	0.0819397993311037
49	13	76	0.104700854700855
49	6	88	0.189922480620155
49	9	72	0.136111111111111
49	12	59	0.11036036036036
49	15	64	0.096078431372549
49	14	77	0.1
49	20	73	0.0844827586206897
49	8	64	0.149390243902439
49	24	79	0.0816666666666667
49	19	60	0.0859649122807017
49	10	77	0.125641025641026
49	5	110	0.222727272727273
124	59	1	0.0323337679269883
104	39	1	0.041025641025641
104	34	1	0.0436974789915966
104	28	1	0.0488721804511278
104	51	1	0.0384757676655568
104	20	1	0.0619047619047619
79	35	3	0.0512987012987013
79	11	1	0.105614973262032
79	33	1	0.0520421607378129
79	32	3	0.0525265957446809
79	21	2	0.0648604269293925
79	26	2	0.0573294629898403
79	17	2	0.0749525616698292
79	22	1	0.0629984051036683
79	18	2	0.0719489981785064
79	30	2	0.0537414965986395
79	23	2	0.0613354037267081
79	16	1	0.0783730158730159
79	13	2	0.0920745920745921
79	29	3	0.0544827586206897
79	25	2	0.0585185185185185
79	27	2	0.0562678062678063
79	28	1	0.0553221288515406
79	36	1	0.0510335917312661
79	12	1	0.0982587064676617
79	20	1	0.0669491525423729
79	14	5	0.0868131868131868
79	15	1	0.0822916666666667
79	38	1	0.0507060333761232
79	8	1	0.139084507042254
79	34	1	0.0516339869281046
79	24	2	0.0598484848484848
79	37	2	0.0508365508365508
79	19	1	0.0692982456140351
